Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Return_1D,Return_5D,Return_10D,SMA_5,SMA_20,Volatility_5D,Volatility_20D,Daily_Range,Volume_Change,Next_Close,Direction
2014-08-08,RELIANCE,EQ,989.3,979.55,983.5,973.1,981.25,980.5,978.7,2084325,203992696270000.0,46703.0,1122945.0,0.5388000000000001,-0.008895178408976023,0.004301956365871273,-0.05816243215983863,985.36,994.7724999999998,0.0066428755351656855,0.01588748278414061,0.010606833248342658,-0.15913577154005443,980.5,0
2014-08-11,RELIANCE,EQ,980.5,985.15,987.25,977.4,979.25,980.5,981.42,1530775,150234042175000.0,46412.0,725260.0,0.4738,0.0,-0.004568527918781706,-0.04046582179380542,984.46,995.4724999999999,0.004920431361534428,0.014226051778768511,0.010045894951555352,-0.2655775850695069,984.4,1
2014-08-12,RELIANCE,EQ,980.5,986.0,986.95,976.35,983.75,984.4,982.06,2184401,214522103270000.0,37034.0,1293764.0,0.5922999999999999,0.003977562468128415,0.0005590283071605917,-0.021081941129673876,984.57,996.6049999999999,0.0053694866058730485,0.014176416393762454,0.010767980495733465,0.4269902500367462,990.15,1
2014-08-13,RELIANCE,EQ,984.4,983.3,996.6,980.0,989.5,990.15,988.75,3226166,318987773575000.0,63261.0,1975250.0,0.6123,0.005841121495327117,0.0020239842129230468,-0.01590220146101473,984.9699999999999,997.5024999999999,0.005690934686700026,0.014041105910239243,0.016765136595465358,0.4769110616594663,1002.95,1
2014-08-14,RELIANCE,EQ,990.15,995.0,1005.0,991.75,1001.2,1002.95,997.42,2757188,275007003475000.0,68681.0,1576236.0,0.5717,0.012927334242286648,0.013797634691195881,-0.003477569675592429,987.7,998.165,0.008028242653831159,0.013761022211836792,0.013211027468966548,-0.14536697739669935,1013.05,1
2014-08-18,RELIANCE,EQ,1002.95,1001.1,1015.45,997.5,1012.5,1013.05,1010.55,1747178,176561337710000.0,48152.0,896917.0,0.5134000000000001,0.010070292636721545,0.033197348291687856,0.03764211820137242,994.21,999.6924999999999,0.005076524806650902,0.013774882589803293,0.01771877005083663,-0.3663188727065402,1009.3,0
2014-08-19,RELIANCE,EQ,1013.05,1015.0,1023.0,1006.1,1007.1,1009.3,1013.03,3328022,337138622160000.0,79679.0,2212099.0,0.6647,-0.0037016929075563976,0.029372768995410414,0.02467005076142126,999.97,1001.32,0.0063764567511027615,0.013721751344186786,0.016744278212622588,0.904798480750101,998.35,0
2014-08-20,RELIANCE,EQ,1009.3,1011.0,1018.45,995.35,996.6,998.35,1005.7,2976628,299359127255000.0,82315.0,1977210.0,0.6642,-0.01084910333894773,0.014171068671271936,0.014738019006962366,1002.76,1001.3549999999999,0.009914912041512574,0.01317266333168761,0.02313817799368961,-0.10558644143578377,995.1,0
2014-08-21,RELIANCE,EQ,998.35,1000.0,1004.0,990.1,994.35,995.1,996.77,3760015,374785853420000.0,67771.0,2601624.0,0.6919,-0.0032553713627485603,0.0049992425390092965,0.007033345139908054,1003.75,999.5625,0.010064039085793133,0.010600013026241641,0.013968445382373608,0.2631793425312132,998.3,1
2014-08-22,RELIANCE,EQ,995.1,1000.1,1007.0,995.3,997.8,998.3,1000.91,1959327,196110250950000.0,56172.0,1091150.0,0.5569,0.0032157572103306276,-0.004636322847599628,0.009097341554634486,1002.82,997.8150000000002,0.007900452703145518,0.010621569473193013,0.011719923870580032,-0.478904472455562,995.8,0
